index,t,x,y,z,yaw_deg,gear,vx,vy,wz
251,175.57,3.4046,8.4082,-1.2315,69.026,4t4d,0.198,0.0,0.0
252,175.785,3.4257,8.4636,-1.2307,69.049,4t4d,0.19,0.0,0.0
253,175.992,3.4323,8.4816,-1.2305,69.057,4t4d,0.201,0.0,0.0
254,176.202,3.4512,8.5328,-1.2298,68.995,4t4d,0.181,0.0,0.0
255,176.415,3.4645,8.5691,-1.2301,69.005,4t4d,0.201,0.0,0.0
256,176.626,3.476,8.601,-1.2308,68.982,4t4d,0.183,0.0,0.0
257,176.839,3.482,8.617,-1.2311,68.958,4t4d,0.204,0.0,0.0
258,177.05,3.5009,8.6673,-1.2323,68.867,4t4d,0.177,0.0,0.0
259,177.26,3.5132,8.7006,-1.2326,68.778,4t4d,0.196,0.0,0.0
260,177.469,3.5261,8.7343,-1.234,68.754,4t4d,0.177,0.0,0.0
261,177.7,3.5446,8.7848,-1.2338,68.687,4t4d,0.181,0.0,0.0
262,177.91,3.5582,8.8191,-1.2337,68.664,4t4d,0.184,0.0,0.0
263,178.129,3.5703,8.8522,-1.2333,68.652,4t4d,0.174,0.0,0.0
264,178.339,3.5833,8.8864,-1.2328,68.691,4t4d,0.2,0.0,0.0
265,178.552,3.6029,8.9379,-1.233,68.644,4t4d,0.177,0.0,0.0
266,178.762,3.61,8.9561,-1.2333,68.63,4t4d,0.196,0.0,0.0
267,178.973,3.6298,9.0066,-1.2347,68.632,4t4d,0.169,0.0,0.0
268,179.188,3.636,9.0229,-1.2349,68.617,4t4d,0.174,0.0,0.0
269,179.403,3.6551,9.0744,-1.2364,68.554,4t4d,0.186,0.0,0.0
270,179.626,3.6682,9.1091,-1.2375,68.456,4t4d,0.164,0.0,0.0
271,179.838,3.6879,9.1595,-1.2377,68.334,4t4d,0.152,0.0,0.0
272,180.051,3.7008,9.1934,-1.2375,68.38,4t4d,0.199,0.0,0.0
273,180.258,3.7191,9.2419,-1.238,68.437,4t4d,0.176,0.0,0.0
274,180.463,3.7258,9.2603,-1.2381,68.451,4t4d,0.17,0.0,0.0
275,180.672,3.7404,9.2969,-1.2382,68.445,4t4d,0.183,0.0,0.0
276,180.881,3.7592,9.3483,-1.2382,68.38,4t4d,0.193,0.0,0.0
277,181.117,3.7722,9.3837,-1.2382,68.284,4t4d,0.176,0.0,0.0
278,181.328,3.7853,9.4177,-1.2385,68.084,4t4d,0.181,0.0,0.0
279,181.54,3.7984,9.4503,-1.2385,67.935,4t4d,0.161,0.0,0.0
280,181.749,3.8194,9.5018,-1.2381,67.818,4t4d,0.159,0.0,0.0
281,181.965,3.8321,9.5359,-1.2389,67.786,4t4d,0.191,0.0,0.0
282,182.178,3.8447,9.5684,-1.2395,67.634,4t4d,0.181,0.0,0.0
283,182.405,3.8574,9.6003,-1.2405,67.359,4t4d,0.189,0.0,0.0
284,182.616,3.8709,9.6329,-1.2411,67.29,4t4d,0.171,0.0,0.0
285,182.827,3.8887,9.679,-1.2426,67.228,4t4d,0.169,0.0,0.0
286,183.039,3.9031,9.7153,-1.2427,67.057,4t4d,0.185,0.0,0.0
287,183.249,3.917,9.7493,-1.2426,66.677,4t4d,0.185,0.0,0.0
288,183.461,3.9301,9.7819,-1.2428,66.634,4t4d,0.185,0.0,0.0
289,183.672,3.9433,9.8133,-1.242,66.69,4t4d,0.166,0.0,0.0
290,183.884,3.958,9.8473,-1.2407,66.454,4t4d,0.178,0.0,0.0
291,184.114,3.9799,9.8991,-1.2402,66.515,4t4d,0.198,0.0,0.0
292,184.333,3.9952,9.9351,-1.2408,66.478,4t4d,0.19,0.0,0.0
293,184.543,4.0095,9.969,-1.2413,66.439,4t4d,0.169,0.0,0.0
294,184.754,4.0234,10.0012,-1.2424,66.248,4t4d,0.186,0.0,0.0
